term,index,definition
foreign financial institution,title-26_subtitle-A_chapter-4_section-1471_subsection-d,means any financial institution which is a foreign entity.
certified distributed wind energy system,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45X_subsection-c,means a wind energy system which is certified by an accredited certification agency to meet Standard 9.
applicable multi-beneficiary trust,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-401_subsection-a,"means a trust— (I) which has more than one beneficiary, (II) all of the beneficiaries of which are treated as designated beneficiaries for purposes of determining the distribution period pursuant to this paragraph, and (III) at least one of the beneficiaries of which is an eligible designated beneficiary described in subclause (III) or (IV) of subparagraph (E)(ii)."
qualified homeless youth,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-C_section-32_subsection-n,"means, with respect to any taxable year, an individual who certifies, in a manner as provided by the Secretary, that such individual is either an unaccompanied youth who is a homeless child or youth, or is unaccompanied, at risk of homelessness, and self-supporting."
qualified farm-related taxpayer,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-C_section-464_subsection-d,"means any farm-related taxpayer if— (i)(I) the aggregate prepaid farm supplies for the 3 taxable years preceding the taxable year are less than 50 percent of, (II) the aggregate deductible farming expenses (other than prepaid farm supplies) for such 3 taxable years, or (ii) the taxpayer has excess prepaid farm supplies for the taxable year by reason of any change in business operation directly attributable to extraordinary circumstances."
single-family,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-143_subsection-k,"when used with respect to residences, include 2, 3, or 4 family residences— (A) one unit of which is occupied by the owner of the units, and (B) which were first occupied at least 5 years before the mortgage is executed."
parent corporation,title-26_subtitle-A_chapter-1_subchapter-D_part-II_section-424_subsection-e,"means any corporation (other than the employer corporation) in an unbroken chain of corporations ending with the employer corporation if, at the time of the granting of the option, each of the corporations other than the employer corporation owns stock possessing 50 percent or more of the total combined voting power of all classes of stock in one of the other corporations in such chain."
tenant-stockholder,title-26_subtitle-A_chapter-1_subchapter-B_part-VII_section-216_subsection-b,"means a person who is a stockholder in a cooperative housing corporation, and whose stock is fully paid-up in an amount not less than an amount shown to the satisfaction of the Secretary as bearing a reasonable relationship to the portion of the value of the corporation's equity in the houses or apartment building and the land on which situated which is attributable to the house or apartment which such person is entitled to occupy."
late enrollee,title-26_subtitle-K_chapter-100_subchapter-A_section-9801_subsection-b,"means, with respect to coverage under a group health plan, a participant or beneficiary who enrolls under the plan other than during— (A) the first period in which the individual is eligible to enroll under the plan, or (B) a special enrollment period under subsection (f)."
constitutional home rule city,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-42_subsection-h,meaning given such term by section 146(d)(3)(C).
constitutional home rule city,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-146_subsection-d,"means, with respect to any calendar year, any political subdivision of a State which, under a State constitution which was adopted in 1970 and effective on July 1, 1971, had home rule powers on the 1st day of the calendar year."
chief judge,title-26_subtitle-F_chapter-76_subchapter-C_part-I_section-7448_subsection-a,means the chief judge of the Tax Court.
nongrantor trust,title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-A_section-877A_subsection-f,means the portion of any trust that the individual is not considered the owner of under subpart E of part I of subchapter J.
applicable elected representative,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-147_subsection-f,"means with respect to any governmental unit— (I) an elected legislative body of such unit, or (II) the chief elected executive officer, the chief elected State legal officer of the executive branch, or any other elected official of such unit designated for purposes of this paragraph by such chief elected executive officer or by State law."
energy project,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-E_section-48_subsection-a,means a project consisting of one or more energy properties that are part of a single project.
bank,title-26_subtitle-A_chapter-1_subchapter-B_part-VIII_section-246A_subsection-c,meaning given such term by section 581.
bank,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-408_subsection-n,"means— (1) any bank (as defined in section 581), (2) an insured credit union (within the meaning of paragraph (6) or (7) of section 101 of the Federal Credit Union Act), and (3) a corporation which, under the laws of the State of its incorporation, is subject to supervision and examination by the Commissioner of Banking or other officer of such State in charge of the administration of the banking laws of such State."
bank,title-26_subtitle-A_chapter-1_subchapter-H_part-I_section-581,"means a bank or trust company incorporated and doing business under the laws of the United States (including laws relating to the District of Columbia) or of any State, a substantial part of the business of which consists of receiving deposits and making loans and discounts, or of exercising fiduciary powers similar to those permitted to national banks under authority of the Comptroller of the Currency, and which is subject by law to supervision and examination by State or Federal authority having supervision over banking institutions."
bank,title-26_subtitle-A_chapter-1_subchapter-H_part-I_section-585_subsection-a,means any bank (as defined in section 581).
bank,title-26_subtitle-A_chapter-1_subchapter-H_part-I_section-585_subsection-a,includes any corporation to which subparagraph (A) would apply except for the fact that it is a foreign corporation.
partner,title-26_subtitle-A_chapter-1_subchapter-K_part-III_section-761_subsection-b,means a member of a partnership.
partner,title-26_subtitle-F_chapter-79_section-7701_subsection-a,"includes a member in such a syndicate, group, pool, joint venture, or organization."
dealer,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-B_section-30D_subsection-g,"means a person licensed by a State, the District of Columbia, the Commonwealth of Puerto Rico, any other territory or possession of the United States, an Indian tribal government, or any Alaska Native Corporation (as defined in section 3 of the Alaska Native Claims Settlement Act (43 U."
dealer,title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-A_section-901_subsection-l,"means— (i) with respect to a security, any person to whom paragraphs (1) and (2) of subsection (k) would not apply by reason of paragraph (4) thereof, and (ii) with respect to any other property, any person with respect to whom such property is described in section 1221(a)(1)."
dealer,title-26_subtitle-E_chapter-51_subchapter-A_part-II_subpart-C_section-5121_subsection-c,"means any person who sells, or offers for sale, any distilled spirits, wines, or beer."
dealer,title-26_subtitle-E_chapter-51_subchapter-A_part-II_subpart-C_section-5122_subsection-c,meaning given such term by section 5121(c)(3).
dealer,title-26_subtitle-E_chapter-53_subchapter-B_part-I_subsection-k,"means any person, not a manufacturer or importer, engaged in the business of selling, renting, leasing, or loaning firearms and shall include pawnbrokers who accept firearms as collateral for loans."
dealer,title-26_subtitle-F_chapter-65_subchapter-B_section-6412_subsection-a,"includes a wholesaler, jobber, distributor, or retailer."
deposit,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-165_subsection-l,"means any deposit, withdrawable account, or withdrawable or repurchasable share."
prevailing party,title-26_subtitle-F_chapter-76_subchapter-B_section-7430_subsection-c,"means any party in any proceeding to which subsection (a) applies (other than the United States or any creditor of the taxpayer involved)— (i) which— (I) has substantially prevailed with respect to the amount in controversy, or (II) has substantially prevailed with respect to the most significant issue or set of issues presented, and (ii) which meets the requirements of the 1st sentence of section 2412(d)(1)(B) of title 28, United States Code (as in effect on October 22, 1986) except to the extent differing procedures are established by rule of court and meets the requirements of section 2412(d)(2)(B) of such title 28 (as so in effect)."
transportation property,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-168_subsection-k,means tangible personal property used in the trade or business of transporting persons or property.
qualified exchange property,title-26_subtitle-B_chapter-11_subchapter-A_part-III_section-2032A_subsection-i,means real property which is to be used for the qualified use set forth in subparagraph (A) or (B) of subsection (b)(2) under which the real property exchanged therefor originally qualified under subsection (a).
participating emergency facility,title-26_subtitle-K_chapter-100_subchapter-B_section-9816_subsection-a,"means, with respect to an item or service and a group health plan, an emergency department of a hospital, or an independent freestanding emergency department, that has a contractual relationship directly or indirectly with the plan, with respect to the furnishing of such an item or service at such facility."
unemployed veteran,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-F_section-51_subsection-d,"means any veteran (as defined in paragraph (3)(B), determined without regard to clause (ii) thereof) who is certified by the designated local agency as— (I) having been discharged or released from active duty in the Armed Forces at any time during the 5-year period ending on the hiring date, and (II) being in receipt of unemployment compensation under State or Federal law for not less than 4 weeks during the 1-year period ending on the hiring date."
qualified participant,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-401_subsection-a,means any employee who has completed at least 10 years of participation under the plan and has attained age 55.
qualified participant,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-415_subsection-b,"means a participant— (i) in a defined benefit plan which is maintained by a State, Indian tribal government (as defined in section 7701(a)(40)), or any political subdivision thereof, (ii) with respect to whom the period of service taken into account in determining the amount of the benefit under such defined benefit plan includes at least 15 years of service of the participant— (I) as a full-time employee of any police department or fire department which is organized and operated by the State, Indian tribal government (as so defined), or any political subdivision maintaining such defined benefit plan to provide police protection, firefighting services, or emergency medical services for any area within the jurisdiction of such State, Indian tribal government (as so defined), or any political subdivision, or (II) as a member of the Armed Forces of the United States."
qualified participant,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-415_subsection-b,"means a participant who first became a participant in the plan maintained by the employer before January 1, 1990."
qualified participant,title-26_subtitle-D_chapter-43_section-4980_subsection-d,"means an individual who— (i) is an active participant, (ii) is a participant or beneficiary in pay status as of"
carrier,title-26_subtitle-C_chapter-22_subchapter-D_section-3231_subsection-g,means a rail carrier subject to part A of subtitle IV of title 49.
covered expatriate,title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-A_section-877A_subsection-g,"means an expatriate who meets the requirements of subparagraph (A), (B), or (C) of section 877(a)(2)."
covered expatriate,title-26_subtitle-B_chapter-15_section-2801_subsection-f,meaning given to such term by section 877A(g)(1).
central inverter,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45X_subsection-c,"means an inverter which is suitable for large utility-scale systems and has a capacity which is greater than 1,000 kilowatts (expressed on a per alternating current watt basis)."
consumer property,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-168_subsection-i,means tangible personal property of a type generally used within the home for personal use.
lottery,title-26_subtitle-D_chapter-35_subchapter-C_section-4421,"includes the numbers game, policy, and similar types of wagering."
cruise ship,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-274_subsection-h,means any vessel sailing within or without the territorial waters of the United States.
nuclear powerplant,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-C_section-468A_subsection-g,includes any unit thereof.
qualified smart electric meter,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-168_subsection-i,"means any smart electric meter which— (i) is placed in service by a taxpayer who is a supplier of electric energy or a provider of electric energy services, and (ii) does not have a class life (determined without regard to subsection (e)) of less than 16 years."
qualified prize option,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-B_section-451_subsection-j,"means an option which— (i) entitles an individual to receive a single cash payment in lieu of receiving a qualified prize (or remaining portion thereof), and (ii) is exercisable not later than 60 days after such individual becomes entitled to the qualified prize."
commissioned officer,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-112_subsection-c,does not include a commissioned warrant officer.
large corporation,title-26_subtitle-F_chapter-68_subchapter-A_part-I_section-6655_subsection-g,"means any corporation if such corporation (or any predecessor corporation) had taxable income of $1,000,000 or more for any taxable year during the testing period."
applicable insurance regulatory body,title-26_subtitle-A_chapter-1_subchapter-P_part-VI_subpart-D_section-1297_subsection-f,"means, with respect to any insurance business, the entity established by law to license, authorize, or regulate such business and to which the statement described in subparagraph (A) is provided."
membership organization,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-B_section-456_subsection-e,"means a corporation, association, federation, or other organization— (A) organized without capital stock of any kind, and (B) no part of the net earnings of which is distributable to any member."
qualified payment,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-139B_subsection-c,means any payment (whether reimbursement or otherwise) provided by a State or political division thereof on account of the performance of services as a member of a qualified volunteer emergency response organization.
qualified payment,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-199A_subsection-g,"means, with respect to any eligible taxpayer, any amount which— (i) is described in paragraph (1) or (3) of section 1385(a), (ii) is received by such taxpayer from a specified agricultural or horticultural cooperative, and (iii) is attributable to qualified production activities income with respect to which a deduction is allowed to such cooperative under paragraph (1)."
qualified payment,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-C_section-468B_subsection-d,"means any money or property which is transferred to any designated settlement fund pursuant to a court order, other than— (A) any amount which may be transferred from the fund to the taxpayer (or any related person), or (B) the transfer of any stock or indebtedness of the taxpayer (or any related person)."
qualified payment,title-26_subtitle-B_chapter-14_section-2701_subsection-c,means any dividend payable on a periodic basis under any cumulative preferred stock (or a comparable payment under any partnership interest) to the extent that such dividend (or comparable payment) is determined at a fixed rate.
corporation,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-41_subsection-e,"shall not include— (i) an S corporation, (ii) a personal holding company (as defined in section 542), or (iii) a service organization (as defined in section 414(m)(3))."
corporation,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-170_subsection-e,"shall not include— (i) an S corporation, (ii) a personal holding company (as defined in section 542), and (iii) a service organization (as defined in section 414(m)(3))."
corporation,title-26_subtitle-F_chapter-79_section-7701_subsection-a,"includes associations, joint-stock companies, and insurance companies."
qualified opportunity zone business property,title-26_subtitle-A_chapter-1_subchapter-Z_section-1400Z_subsection-d,"means tangible property used in a trade or business of the qualified opportunity fund if— (I) such property was acquired by the qualified opportunity fund by purchase (as defined in section 179(d)(2)) after December 31, 2017, (II) the original use of such property in the qualified opportunity zone commences with the qualified opportunity fund or the qualified opportunity fund substantially improves the property, and (III) during substantially all of the qualified opportunity fund's holding period for such property, substantially all of the use of such property was in a qualified opportunity zone."
foundation manager,title-26_subtitle-D_chapter-42_subchapter-A_section-4946_subsection-b,"means, with respect to any private foundation— (1) an officer, director, or trustee of a foundation (or an individual having powers or responsibilities similar to those of officers, directors, or trustees of the foundation), and (2) with respect to any act (or failure to act), the employees of the foundation having authority or responsibility with respect to such act (or failure to act)."
transferor's agent,title-26_subtitle-A_chapter-3_subchapter-A_section-1445_subsection-d,"means any person who represents the transferor— (A) in any negotiation with the transferee or any transferee's agent related to the transaction, or (B) in settling the transaction."
qualified fractional owner,title-26_subtitle-D_chapter-31_subchapter-B_section-4043_subsection-c,means any fractional owner which has a minimum fractional ownership interest in at least one fractional program aircraft.
qualified investment credit facility,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-E_section-48_subsection-a,"means any facility— (i) which is a qualified facility (within the meaning of section 45) described in paragraph (1), (2), (3), (4), (6), (7), (9), or (11) of section 45(d), (ii) which is placed in service after 2008 and the construction of which begins before January 1, 2025, and (iii) with respect to which— (I) no credit has been allowed under section 45, and (II) the taxpayer makes an irrevocable election to have this paragraph apply."
commodities derivatives dealer,title-26_subtitle-A_chapter-1_subchapter-P_part-III_section-1221_subsection-b,"means a person which 1 regularly offers to enter into, assume, offset, assign, or terminate positions in commodities derivative financial instruments with customers in the ordinary course of a trade or business."
gain corporation,title-26_subtitle-A_chapter-1_subchapter-C_part-V_section-384_subsection-c,means any corporation with a net unrealized built-in gain.
qualified continuing care facility,title-26_subtitle-F_chapter-80_subchapter-C_section-7872_subsection-g,"means 1 or more facilities— (i) which are designed to provide services under continuing care contracts, and (ii) substantially all of the residents of which are covered by continuing care contracts."
qualified continuing care facility,title-26_subtitle-F_chapter-80_subchapter-C_section-7872_subsection-g,shall not include any facility which is of a type which is traditionally considered a nursing home.
qualified continuing care facility,title-26_subtitle-F_chapter-80_subchapter-C_section-7872_subsection-h,"means 1 or more facilities— (i) which are designed to provide services under continuing care contracts, (ii) which include an independent living unit, plus an assisted living or nursing facility, or both, and (iii) substantially all of the independent living unit residents of which are covered by continuing care contracts."
qualified continuing care facility,title-26_subtitle-F_chapter-80_subchapter-C_section-7872_subsection-h,shall not include any facility which is of a type which is traditionally considered a nursing home.
restricted bank director stock,title-26_subtitle-A_chapter-1_subchapter-S_part-I_section-1361_subsection-f,means stock in a bank (as defined in section 581) or a depository institution holding company (as defined in section 3(w)(1) of the Federal Deposit Insurance Act (12 U.
jet aircraft,title-26_subtitle-D_chapter-33_subchapter-C_part-III_section-4281_subsection-d,shall not include any aircraft which is a rotorcraft or propeller aircraft.
transit pass,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-132_subsection-f,"means any pass, token, farecard, voucher, or similar item entitling a person to transportation (or transportation at a reduced price) if such transportation is— (i) on mass transit facilities (whether or not publicly owned), or (ii) provided by any person in the business of transporting persons for compensation or hire if such transportation is provided in a vehicle meeting the requirements of subparagraph (B)(i)."
qualified funding asset,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-130_subsection-d,"means any annuity contract issued by a company licensed to do business as an insurance company under the laws of any State, or any obligation of the United States, if— (1) such annuity contract or obligation is used by the assignee to fund periodic payments under any qualified assignment, (2) the periods of the payments under the annuity contract or obligation are reasonably related to the periodic payments under the qualified assignment, and the amount of any such payment under the contract or obligation does not exceed the periodic payment to which it relates, (3) such annuity contract or obligation is designated by the taxpayer (in such manner as the Secretary shall by regulations prescribe) as being taken into account under this section with respect to such qualified assignment, and (4) such annuity contract or obligation is purchased by the taxpayer not more than 60 days before the date of the qualified assignment and not later than 60 days after the date of such assignment."
vested participant,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-417_subsection-f,means any participant who has a nonforfeitable right (within the meaning of section 411(a)) to any portion of such participant's accrued benefit.
lifetime income investment,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-401_subsection-a,"means an investment option which is designed to provide an employee with election rights— (I) which are not uniformly available with respect to other investment options under the plan, and (II) which are to a lifetime income feature available through a contract or other arrangement offered under the plan (or under another eligible retirement plan (as so defined), if paid by means of a direct trustee-to-trustee transfer described in paragraph (31)(A) to such other eligible retirement plan), (iii)"
qualified refiner or processor,title-26_subtitle-A_chapter-1_subchapter-O_part-III_section-1042_subsection-g,"means a domestic corporation— (A) substantially all of the activities of which consist of the active conduct of the trade or business of refining or processing agricultural or horticultural products, and (B) which, during the 1-year period ending on the date of the sale, purchases more than one-half of such products to be refined or processed from— (i) farmers who make up the eligible farmers' cooperative which is purchasing stock in the corporation in a transaction to which this subsection is to apply, or (ii) such cooperative."
undistributed income,title-26_subtitle-D_chapter-42_subchapter-A_section-4942_subsection-c,"means, with respect to any private foundation for any taxable year as of any time, the amount by which— (1) the distributable amount for such taxable year, exceeds (2) the qualifying distributions made before such time out of such distributable amount."
qualified assignment,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-130_subsection-c,"means any assignment of a liability to make periodic payments as damages (whether by suit or agreement), or as compensation under any workmen's compensation act, on account of personal injury or sickness (in a case involving physical injury or physical sickness)— (1) if the assignee assumes such liability from a person who is a party to the suit or agreement, or the workmen's compensation claim, and (2) if— (A) such periodic payments are fixed and determinable as to amount and time of payment, (B) such periodic payments cannot be accelerated, deferred, increased, or decreased by the recipient of such payments, (C) the assignee's obligation on account of the personal injuries or sickness is no greater than the obligation of the person who assigned the liability, and (D) such periodic payments are excludable from the gross income of the recipient under paragraph (1) or (2) of section 104(a)."
nonmember charitable organization,title-26_subtitle-A_chapter-1_subchapter-F_part-I_section-501_subsection-n,means any organization which is described in subsection (c)(3) and exempt from tax under subsection (a) and which is not a member of the risk pool and does not benefit (directly or indirectly) from the insurance coverage provided by the pool to its members.
exempt facility bond,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-142_subsection-a,"means any bond issued as part of an issue 95 percent or more of the net proceeds of which are to be used to provide— (1) airports, (2) docks and wharves, (3) mass commuting facilities, (4) facilities for the furnishing of water, (5) sewage facilities, (6) solid waste disposal facilities, (7) qualified residential rental projects, (8) facilities for the local furnishing of electric energy or gas, (9) local district heating or cooling facilities, (10) qualified hazardous waste facilities, (11) high-speed intercity rail facilities, (12) environmental enhancements of hydroelectric generating facilities, (13) qualified public educational facilities, (14) qualified green building and sustainable design projects, (15) qualified highway or surface freight transfer facilities, (16) qualified broadband projects, or (17) qualified carbon dioxide capture facilities."
exempt facility bond,title-26_subtitle-A_chapter-1_subchapter-U_part-II_section-1394_subsection-a,includes any bond issued as part of an issue 95 percent or more of the net proceeds (as defined in section 150(a)(3)) of which are to be used to provide any enterprise zone facility.
qualified funeral trust,title-26_subtitle-A_chapter-1_subchapter-J_part-I_subpart-F_section-685_subsection-b,"means any trust (other than a foreign trust) if— (1) the trust arises as a result of a contract with a person engaged in the trade or business of providing funeral or burial services or property necessary to provide such services, (2) the sole purpose of the trust is to hold, invest, and reinvest funds in the trust and to use such funds solely to make payments for such services or property for the benefit of the beneficiaries of the trust, (3) the only beneficiaries of such trust are individuals with respect to whom such services or property are to be provided at their death under contracts described in paragraph (1), (4) the only contributions to the trust are contributions by or for the benefit of such beneficiaries, (5) the trustee elects the application of this subsection, and (6) the trust would (but for the election described in paragraph (5)) be treated as owned under subpart E by the purchasers of the contracts described in paragraph (1)."
distributable amount,title-26_subtitle-D_chapter-42_subchapter-A_section-4942_subsection-d,"means, with respect to any foundation for any taxable year, an amount equal to— (1) the sum of the minimum investment return plus the amounts described in subsection (f)(2)(C), reduced by (2) the sum of the taxes imposed on such private foundation for the taxable year under subtitle A and section 4940."
rural airport,title-26_subtitle-D_chapter-33_subchapter-C_part-I_section-4261_subsection-e,"means, with respect to any calendar year, any airport if— (i) there were fewer than 100,000 commercial passengers departing by air (in the case of any airport described in clause (ii)(III), on flight segments of at least 100 miles) during the second preceding calendar year from such airport, and (ii) such airport— (I) is not located within 75 miles of another airport which is not described in clause (i), (II) is receiving essential air service subsidies as of the date of the enactment of this paragraph, or (III) is not connected by paved roads to another airport."
qualified military benefit,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-134_subsection-b,"means any allowance or in-kind benefit (other than personal use of a vehicle) which— (A) is received by any member or former member of the uniformed services of the United States or any dependent of such member by reason of such member's status or service as a member of such uniformed services, and (B) was excludable from gross income on September 9, 1986, under any provision of law, regulation, or administrative practice which was in effect on such date (other than a provision of this title)."
qualified military benefit,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-134_subsection-b,"includes any bonus payment by a State or political subdivision thereof to any member or former member of the uniformed services of the United States or any dependent of such member only by reason of such member's service in a combat zone (as defined in section 112(c)(2), determined without regard to the parenthetical)."
tier 1 railroad retirement benefit,title-26_subtitle-A_chapter-1_subchapter-B_part-II_section-72_subsection-r,meaning given such term by section 86(d)(4).
tier 1 railroad retirement benefit,title-26_subtitle-A_chapter-1_subchapter-B_part-II_section-86_subsection-d,"means— (A) the amount of the annuity under the Railroad Retirement Act of 1974 equal to the amount of the benefit to which the taxpayer would have been entitled under the Social Security Act if all of the service after December 31, 1936, of the employee (on whose employment record the annuity is being paid) had been included in"
section 501(c)(3) organization,title-26_subtitle-D_chapter-42_subchapter-C_section-4955_subsection-f,means any organization which (without regard to any political expenditure) would be described in section 501(c)(3) and exempt from taxation under section 501(a).
section 501(c)(3) organization,title-26_subtitle-F_chapter-70_subchapter-A_part-I_section-6852_subsection-b,meanings given to such terms by section 4955.
section 501(c)(3) organization,title-26_subtitle-F_chapter-76_subchapter-A_section-7409_subsection-c,meanings given to such terms by section 4955.
natural gas,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-43_subsection-c,meaning given such term by section 613A(e)(2).
natural gas,title-26_subtitle-A_chapter-1_subchapter-I_part-I_section-613A_subsection-e,means any product (other than crude oil) of an oil or gas well if a deduction for depletion is allowable under section 611 with respect to such product.
qualified tax collection contract,title-26_subtitle-F_chapter-64_subchapter-A_section-6306_subsection-b,"means any contract which— (1) is for the services of any person (other than an officer or employee of the Treasury Department)— (A) to locate and contact any taxpayer specified by the Secretary, (B) to request full payment from such taxpayer of an amount of Federal tax specified by the Secretary and, if such request cannot be met by the taxpayer, to offer the taxpayer an installment agreement providing for full payment of such amount during a period not to exceed 7 years, and (C) to obtain financial information specified by the Secretary with respect to such taxpayer, (2) prohibits each person providing such services under such contract from committing any act or omission which employees of the Internal Revenue Service are prohibited from committing in the performance of similar services, (3) prohibits subcontractors from— (A) having contacts with taxpayers, (B) providing quality assurance services, and (C) composing debt collection notices, and (4) permits subcontractors to perform other services only with the approval of the Secretary."
port,title-26_subtitle-D_chapter-36_subchapter-A_section-4462_subsection-a,"means any channel or harbor (or component thereof) in the United States, which— (i) is not an inland waterway, and (ii) is open to public navigation."
port,title-26_subtitle-D_chapter-36_subchapter-A_section-4462_subsection-a,shall include the channels of the Columbia River in the States of Oregon and Washington only up to the downstream side of Bonneville lock and dam.
qualified disaster recovery distribution,title-26_subtitle-A_chapter-1_subchapter-B_part-II_section-72_subsection-t,"means any distribution made— (i) on or after the first day of the incident period of a qualified disaster and before the date that is 180 days after the applicable date with respect to such disaster, and (ii) to an individual whose principal place of abode at any time during the incident period of such qualified disaster is located in the qualified disaster area with respect to such qualified disaster and who has sustained an economic loss by reason of such qualified disaster."
rare disease or condition,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45C_subsection-d,"means any disease or condition which— (A) affects less than 200,000 persons in the United States, or (B) affects more than 200,000 persons in the United States but for which there is no reasonable expectation that the cost of developing and making available in the United States a drug for such disease or condition will be recovered from sales in the United States of such drug."
fuel,title-26_subtitle-D_chapter-32_subchapter-A_part-I_section-4064_subsection-b,means gasoline and diesel fuel.
qualified intellectual property contribution,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-170_subsection-m,"means any charitable contribution of qualified intellectual property— (A) the amount of which taken into account under this section is reduced by reason of subsection (e)(1), and (B) with respect to which the donor informs the donee at the time of such contribution that the donor intends to treat such contribution as a qualified intellectual property contribution for purposes of this subsection and section 6050L."
social security benefit,title-26_subtitle-A_chapter-1_subchapter-B_part-II_section-86_subsection-d,"means any amount received by the taxpayer by reason of entitlement to— (A) a monthly benefit under title II of the Social Security Act, or (B) a tier 1 railroad retirement benefit."
social security benefit,title-26_subtitle-A_chapter-1_subchapter-B_part-II_section-86_subsection-d,includes that portion of such benefit received under the workmen's compensation act which equals such reduction.
social security benefit,title-26_subtitle-F_chapter-61_subchapter-A_part-III_subpart-B_section-6050F_subsection-c,meaning given to such term by section 86(d)(1).
small employer,title-26_subtitle-A_chapter-1_subchapter-B_part-VII_section-220_subsection-c,"means, with respect to any calendar year, any employer if such employer employed an average of 50 or fewer employees on business days during either of the 2 preceding calendar years."
small employer,title-26_subtitle-A_chapter-1_subchapter-B_part-VII_section-220_subsection-c,"includes, with respect to any calendar year, any employer if— (i) such employer met the requirement of subparagraph (A) (determined without regard to subparagraph (B)) for any preceding calendar year after 1996, (ii) any amount was contributed to the Archer MSA of any employee of such employer with respect to coverage of such employee under a high deductible health plan of such employer during such preceding calendar year and such amount was excludable from gross income under section 106(b) or allowable as a deduction under this section, and (iii) such employer employed an average of 200 or fewer employees on business days during each preceding calendar year after 1996."
small employer,title-26_subtitle-D_chapter-43_section-4980D_subsection-d,"means, with respect to a calendar year and a plan year, an employer who employed an average of at least 2 but not more than 50 employees on business days during the preceding calendar year and who employs at least 2 employees on the first day of the plan year."
small employer,title-26_subtitle-K_chapter-100_subchapter-B_section-9812_subsection-c,"means, with respect to a calendar year and a plan year, an employer who employed an average of at least 2 (or 1 in the case of an employer residing in a State that permits small groups to include a single individual) but not more than 50 employees on business days during the preceding calendar year."
debt financed portfolio stock,title-26_subtitle-A_chapter-1_subchapter-B_part-VIII_section-246A_subsection-c,means any portfolio stock if at some time during the base period there is portfolio indebtedness with respect to such stock.
person in pay status,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-C_section-418E_subsection-c,"means— (I) a participant or beneficiary on the last day of the base plan year who, at any time during such year, was paid an early, late, normal, or disability retirement benefit (or a death benefit related to a retirement benefit), and (II) to the extent provided in regulations prescribed by the Secretary of the Treasury, any other person who is entitled to such a benefit under the plan."
