index,name,type,definition
title-26_subtitle-D_chapter-43_section-4978_subsection-e,employee stock ownership plan,entity,meaning given to such term by section 4975(e)(7).
title-26_subtitle-A_chapter-1_subchapter-P_part-IV_section-1234_subsection-b,property,entity,"means stocks and securities (including stocks and securities dealt with on a ""when issued"" basis), commodities, and commodity futures."
title-26_subtitle-A_chapter-1_subchapter-C_part-V_section-382_subsection-l,title 11 or similar case,concept,meaning given such term by section 368(a)(3)(A).
title-26_subtitle-A_chapter-1_subchapter-M_part-IV_section-860G_subsection-c,net income from foreclosure property,concept,means the amount which would be the REMIC's net income from foreclosure property under section 857(b)(4)(B) if the REMIC were a real estate investment trust.
title-26_subtitle-A_chapter-1_subchapter-F_part-III_section-512_subsection-a,payments with respect to securities loans,concept,"includes all amounts received in respect of a security (as defined in section 1236(c)) transferred by the owner to another person in a transaction to which section 1058 applies (whether or not title to the security remains in the name of the lender) including— (i) amounts in respect of dividends, interest, or other distributions, (ii) fees computed by reference to the period beginning with the transfer of securities by the owner and ending with the transfer of identical securities back to the transferor by the transferee and the fair market value of the security during such period, (iii) income from collateral security for such loan, and (iv) income from the investment of collateral security."
title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-C_section-465_subsection-c,qualified leasing group,entity,"means a controlled group of corporations which, for the taxable year and each of the 2 immediately preceding taxable years, satisfied each of the following 3 requirements: During the entire year, the group had at least 3 full-time employees substantially all of the services of whom were services directly related to the equipment leasing activity of the qualified leasing members."
title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-A_section-901_subsection-l,dealer,entity,"means— (i) with respect to a security, any person to whom paragraphs (1) and (2) of subsection (k) would not apply by reason of paragraph (4) thereof, and (ii) with respect to any other property, any person with respect to whom such property is described in section 1221(a)(1)."
title-26_subtitle-A_chapter-1_subchapter-O_part-III_section-1033_subsection-h,federally declared disaster,concept,meaning given such terms by section 165(i)(5).
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-414_subsection-m,service organization,entity,means an organization the principal business of which is the performance of services.
title-26_subtitle-D_chapter-43_section-4975_subsection-e,qualifying employer security,entity,means any employer security within the meaning of section 409(l).
title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-B_section-453_subsection-g,related persons,entity,"meaning given to such term by section 1239(b), except that such term shall include 2 or more partnerships having a relationship to each other described in section 707(b)(1)(B)."
title-26_subtitle-A_chapter-1_subchapter-R_section-1355_subsection-g,qualified zone domestic trade,concept,means the transportation of goods or passengers between places in the qualified zone if such transportation is in the United States domestic trade.
title-26_subtitle-A_chapter-1_subchapter-E_part-I_section-444_subsection-b,deferral period,concept,"means, with respect to any taxable year of the entity, the months between— (A) the beginning of such year, and (B) the close of the 1st required taxable year ending within such year."
title-26_subtitle-A_chapter-1_subchapter-I_part-I_section-613_subsection-e,gross income from the property,concept,"shall, for purposes of this section, not include any amount described in section 613A(d)(5)."
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-401_subsection-c,self-employed individual,entity,"means, with respect to any taxable year, an individual who has earned income (as defined in paragraph (2)) for such taxable year."
title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-162_subsection-e,legislation,concept,meaning given such term by section 4911(e)(2).
title-26_subtitle-F_chapter-77_section-7507_subsection-b,agent,entity,"as used in this subsection, shall be deemed to include a corporation acting as a liquidating agent."
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-402A_subsection-f,elective deferral,concept,"means— (A) any elective deferral described in subparagraph (A) or (C) of section 402(g)(3), and (B) any elective deferral of compensation by an individual under an eligible deferred compensation plan (as defined in section 457(b)) of an eligible employer described in section 457(e)(1)(A)."
title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-199A_subsection-b,qualified property,concept,"means, with respect to any qualified trade or business for a taxable year, tangible property of a character subject to the allowance for depreciation under section 167— (i) which is held by, and available for use in, the qualified trade or business at the close of the taxable year, (ii) which is used at any point during the taxable year in the production of qualified business income, and (iii) the depreciable period for which has not ended before the close of the taxable year."
title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-D_section-473_subsection-d,lifo method,concept,means the method of inventorying goods described in section 472.
title-26_subtitle-A_chapter-1_subchapter-C_part-I_subpart-B_section-312_subsection-n,inventory assets,concept,"means stock in trade of the corporation, or other property of a kind which would properly be included in the inventory of the corporation if on hand at the close of the taxable year."
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-41_subsection-b,contract research expenses,concept,means 65 percent of any amount paid or incurred by the taxpayer to any person (other than an employee of the taxpayer) for qualified research.
title-26_subtitle-D_chapter-38_subchapter-B_section-4662_subsection-a,importer,entity,"means the person entering the taxable chemical for consumption, use, or warehousing."
title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-B_section-884_subsection-e,qualified resident,concept,"means, with respect to any foreign country, any foreign corporation which is a resident of such foreign country unless— (i) 50 percent or more (by value) of the stock of such foreign corporation is owned (within the meaning of section 883(c)(4)) by individuals who are not residents of such foreign country and who are not United States citizens or resident aliens, or (ii) 50 percent or more of its income is used (directly or indirectly) to meet liabilities to persons who are not residents of such foreign country or citizens or residents of the United States."
title-26_subtitle-A_chapter-1_subchapter-B_part-VIII_section-245_subsection-a,dividend,concept,does not include any amount treated as a dividend under section 1248.
title-26_subtitle-A_chapter-1_subchapter-P_part-I_section-1202_subsection-e,qualified trade or business,entity,"means any trade or business other than— (A) any trade or business involving the performance of services in the fields of health, law, engineering, architecture, accounting, actuarial science, performing arts, consulting, athletics, financial services, brokerage services, or any trade or business where the principal asset of such trade or business is the reputation or skill of 1 or more of its employees, (B) any banking, insurance, financing, leasing, investing, or similar business, (C) any farming business (including the business of raising or harvesting trees), (D) any business involving the production or extraction of products of a character with respect to which a deduction is allowable under section 613 or 613A, and (E) any business of operating a hotel, motel, restaurant, or similar business."
title-26_subtitle-D_chapter-43_section-4975_subsection-f,affiliate,entity,means an affiliated person of the entity (as defined in section 2(a)(3) of the Investment Company Act of 1940 (15 U.
title-26_subtitle-A_chapter-1_subchapter-B_part-VIII_section-243_subsection-b,affiliated group,entity,"meaning given such term by section 1504(a), except that for such purposes sections 1504(b)(2) and 1504(c) shall not apply."
title-26_subtitle-K_chapter-100_subchapter-C_section-9832_subsection-d,family member,entity,"means, with respect to any individual— (A) a dependent (as such term is used for purposes of section 9801(f)(2)) of such individual, and (B) any other individual who is a first-degree, second-degree, third-degree, or fourth-degree relative of such individual or of an individual described in subparagraph (A)."
title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-129_subsection-e,employee,entity,meaning of section 401(c)(1) (relating to self-employed individuals).
title-26_subtitle-A_chapter-1_subchapter-L_part-III_section-842_subsection-b,net investment income,concept,"means— (A) gross investment income (within the meaning of section 834(b)), reduced by (B) expenses allocable to such income."
title-26_subtitle-A_chapter-1_subchapter-M_part-II_section-856_subsection-f,interest,entity,"does not include any amount received or accrued, directly or indirectly, if the determination of such amount depends in whole or in part on the income or profits of any person except that— (A) any amount so received or accrued shall not be excluded from"
title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-B_section-884_subsection-b,dividend equivalent amount,concept,means the foreign corporation's effectively connected earnings and profits for the taxable year adjusted as provided in this subsection: (1) Reduction for increase in U.
title-26_subtitle-A_chapter-1_subchapter-P_part-IV_section-1256_subsection-g,options dealer,entity,means any person registered with an appropriate national securities exchange as a market maker or specialist in listed options.
title-26_subtitle-A_chapter-1_subchapter-F_part-I_section-501_subsection-q,debt management plan services,entity,"means services related to the repayment, consolidation, or restructuring of a consumer's debt, and includes the negotiation with creditors of lower interest rates, the waiver or reduction of fees, and the marketing and processing of debt management plans."
title-26_subtitle-D_chapter-42_subchapter-B_section-4951_subsection-d,self-dealing,concept,"means any direct or indirect— (A) sale, exchange, or leasing of real or personal property between a trust described in section 501(c)(21) and a disqualified person; (B) lending of money or other extension of credit between such a trust and a disqualified person; (C) furnishing of goods, services, or facilities between such a trust and a disqualified person; (D) payment of compensation (or payment or reimbursement of expenses) by such a trust to a disqualified person; and (E) transfer to, or use by or for the benefit of, a disqualified person of the income or assets of such a trust."
title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-C_section-461_subsection-k,farming syndicate,entity,"means— (A) a partnership or any other enterprise other than a corporation which is not an S corporation engaged in the trade or business of farming, if at any time interests in such partnership or enterprise have been offered for sale in any offering required to be registered with any Federal or State agency having authority to regulate the offering of securities for sale, or (B) a partnership or any other enterprise other than a corporation which is not an S corporation engaged in the trade or business of farming, if more than 35 percent of the losses during any period are allocable to limited partners or limited entrepreneurs."
title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-163_subsection-d,interest,entity,includes any amount allowable as a deduction in connection with personal property used in a short sale.
title-26_subtitle-D_chapter-42_subchapter-D_section-4958_subsection-f,taxable period,entity,"means, with respect to any excess benefit transaction, the period beginning with the date on which the transaction occurs and ending on the earliest of— (A) the date of mailing a notice of deficiency under section 6212 with respect to the tax imposed by subsection (a)(1), or (B) the date on which the tax imposed by subsection (a)(1) is assessed."
title-26_subtitle-A_chapter-1_subchapter-D_part-II_section-424_subsection-e,parent corporation,entity,"means any corporation (other than the employer corporation) in an unbroken chain of corporations ending with the employer corporation if, at the time of the granting of the option, each of the corporations other than the employer corporation owns stock possessing 50 percent or more of the total combined voting power of all classes of stock in one of the other corporations in such chain."
title-26_subtitle-F_chapter-64_subchapter-B_section-6311_subsection-d,creditor,entity,"shall not include the Secretary with respect to credit card transactions in payment of internal revenue taxes (or payment for internal revenue stamps), and (E) notwithstanding any other provision of law to the contrary, in the case of payment made by credit card or debit card transaction of an amount owed to a person as the result of the correction of an error under section 161 of the Truth in Lending Act (15 U."
title-26_subtitle-A_chapter-1_subchapter-B_part-VIII_section-243_subsection-b,qualifying dividend,concept,"means any dividend received by a corporation— (A) if at the close of the day on which such dividend is received, such corporation is a member of the same affiliated group as the corporation distributing such dividend, and (B) if such dividend is distributed out of the earnings and profits of a taxable year of the distributing corporation which ends after December 31, 1963, and on each day of which the distributing corporation and the corporation receiving the dividend were members of such affiliated group."
title-26_subtitle-A_chapter-1_subchapter-S_part-I_section-1361_subsection-c,estate,entity,includes the estate of an individual in a case under title 11 of the United States Code.
title-26_subtitle-A_chapter-1_subchapter-I_part-I_section-613_subsection-c,gross income from the property,concept,"means, in the case of a property other than an oil or gas well and other than a geothermal deposit, the gross income from mining."
title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-F_section-951A_subsection-c,tested income,concept,"means, with respect to any controlled foreign corporation for any taxable year of such controlled foreign corporation, the excess (if any) of— (i) the gross income of such corporation determined without regard to— (I) any item of income described in section 952(b), (II) any gross income taken into account in determining the subpart F income of such corporation, (III) any gross income excluded from the foreign base company income (as defined in section 954) and the insurance income (as defined in section 953) of such corporation by reason of section 954(b)(4), (IV) any dividend received from a related person (as defined in section 954(d)(3)), and (V) any foreign oil and gas extraction income (as defined in section 907(c)(1)) of such corporation, over (ii) the deductions (including taxes) properly allocable to such gross income under rules similar to the rules of section 954(b)(5) (or to which such deductions would be allocable if there were such gross income)."
title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-A_section-904_subsection-h,dividend,concept,includes any gain treated as a dividend under section 1248.
title-26_subtitle-F_chapter-76_subchapter-A_section-7409_subsection-c,section 501(c)(3) organization,entity,meanings given to such terms by section 4955.
title-26_subtitle-A_chapter-1_subchapter-B_part-VII_section-216_subsection-b,tenant-stockholder,entity,"means a person who is a stockholder in a cooperative housing corporation, and whose stock is fully paid-up in an amount not less than an amount shown to the satisfaction of the Secretary as bearing a reasonable relationship to the portion of the value of the corporation's equity in the houses or apartment building and the land on which situated which is attributable to the house or apartment which such person is entitled to occupy."
title-26_subtitle-D_chapter-42_subchapter-D_section-4958_subsection-e,applicable tax-exempt organization,entity,"means— (1) any organization which (without regard to any excess benefit) would be described in paragraph (3), (4), or (29) of section 501(c) and exempt from tax under section 501(a), and (2) any organization which was described in paragraph (1) at any time during the 5-year period ending on the date of the transaction."
title-26_subtitle-D_chapter-34_subchapter-B_section-4377_subsection-a,united states,entity,includes any possession of the United States.
title-26_subtitle-A_chapter-1_subchapter-B_part-II_section-83_subsection-i,qualified stock,concept,"means, with respect to any qualified employee, any stock in a corporation which is the employer of such employee, if— (i) such stock is received— (I) in connection with the exercise of an option, or (II) in settlement of a restricted stock unit, and (ii) such option or restricted stock unit was granted by the corporation— (I) in connection with the performance of services as an employee, and (II) during a calendar year in which such corporation was an eligible corporation."
title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-168_subsection-h,disqualified lease,concept,"means any lease of the property to a tax-exempt entity, but only if— (I) part or all of the property was financed (directly or indirectly) by an obligation the interest on which is exempt from tax under section 103(a) and such entity (or a related entity) participated in such financing, (II) under such lease there is a fixed or determinable price purchase or sale option which involves such entity (or a related entity) or there is the equivalent of such an option, (III) such lease has a lease term in excess of 20 years, or (IV) such lease occurs after a sale (or other transfer) of the property by, or lease of the property from, such entity (or a related entity) and such property has been used by such entity (or a related entity) before such sale (or other transfer) or lease."
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-42_subsection-h,extended low-income housing commitment,concept,"means any agreement between the taxpayer and the housing credit agency— (i) which requires that the applicable fraction (as defined in subsection (c)(1)) for the building for each taxable year in the extended use period will not be less than the applicable fraction specified in such agreement and which prohibits the actions described in subclauses (I) and (II) of subparagraph (E)(ii), (ii) which allows individuals who meet the income limitation applicable to the building under subsection (g) (whether prospective, present, or former occupants of the building) the right to enforce in any State court the requirement and prohibitions of clause (i), (iii) which prohibits the disposition to any person of any portion of the building to which such agreement applies unless all of the building to which such agreement applies is disposed of to such person, (iv) which prohibits the refusal to lease to a holder of a voucher or certificate of eligibility under section 8 of the United States Housing Act of 1937 because of the status of the prospective tenant as such a holder, (v) which is binding on all successors of the taxpayer, and (vi) which, with respect to the property, is recorded pursuant to State law as a restrictive covenant."
title-26_subtitle-A_chapter-1_subchapter-J_part-I_subpart-C_section-664_subsection-g,qualified employer securities,concept,"means employer securities (as defined in section 409(l)) which are issued by a domestic corporation— (A) which has no outstanding stock which is readily tradable on an established securities market, and (B) which has only 1 class of stock."
title-26_subtitle-A_chapter-1_subchapter-P_part-II_section-1212_subsection-b,adjusted taxable income,concept,"means taxable income increased by the sum of— (i) the amount allowed for the taxable year under paragraph (1) or (2) of section 1211(b), and (ii) the deduction allowed for such year under section 151 or any deduction in lieu thereof."
title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-A_section-448_subsection-d,farming business,entity,means the trade or business of farming (within the meaning of section 263A(e)(4)).
title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-170_subsection-h,qualified mineral interest,concept,"means— (A) subsurface oil, gas, or other minerals, and (B) the right to access to such minerals."
title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-269B_subsection-c,stapled entities,entity,means any group of 2 or more entities if more than 50 percent in value of the beneficial ownership in each of such entities consists of stapled interests.
title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-121_subsection-d,qualified official extended duty,concept,means any extended duty while serving at a duty station which is at least 50 miles from such property or while residing under Government orders in Government quarters.
title-26_subtitle-A_chapter-1_subchapter-R_section-1356_subsection-d,qualified incidental activities,entity,"means shipping-related activities if— (1) they are incidental to the corporation's core qualifying activities, (2) they are not qualifying secondary activities, and (3) without regard to this subchapter, the gross income derived by such corporation from such activities does not exceed 0."
title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-A_section-871_subsection-k,qualified net interest income,concept,means the qualified interest income of the regulated investment company reduced by the deductions properly allocable to such income.
title-26_subtitle-A_chapter-1_subchapter-R_section-1355_subsection-a,united states foreign trade,concept,means the transportation of goods or passengers between a place in the United States and a foreign place or between foreign places.
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-414_subsection-m,organization,entity,"means a corporation, partnership, or other organization."
title-26_subtitle-A_chapter-1_subchapter-J_part-I_subpart-A_section-646_subsection-h,sponsoring native corporation,entity,means the Native Corporation which transfers assets to an electing Settlement Trust.
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-E_section-48_subsection-a,qualified property,concept,"means property— (i) which is— (I) tangible personal property, or (II) other tangible property (not including a building or its structural components), but only if such property is used as an integral part of the qualified investment credit facility, (ii) with respect to which depreciation (or amortization in lieu of depreciation) is allowable, (iii) which is constructed, reconstructed, erected, or acquired by the taxpayer, and (iv) the original use of which commences with the taxpayer."
title-26_subtitle-A_chapter-1_subchapter-F_part-I_section-501_subsection-h,lobbying expenditures,concept,means expenditures for the purpose of influencing legislation (as defined in section 4911(d)).
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-E_section-420_subsection-f,collectively bargained plan,concept,"means a group health plan or arrangement for retired employees and their spouses and dependents, or a group-term life insurance plan or arrangement for retired employees, that is maintained pursuant to 1 or more collective bargaining agreements."
title-26_subtitle-A_chapter-1_subchapter-U_part-I_section-1393_subsection-a,urban area,entity,means an area which is not a rural area.
title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-F_section-951_subsection-b,united states shareholder,entity,"means, with respect to any foreign corporation, a United States person (as defined in section 957(c)) who owns (within the meaning of section 958(a)), or is considered as owning by applying the rules of ownership of section 958(b), 10 percent or more of the total combined voting power of all classes of stock entitled to vote of such foreign corporation, or 10 percent or more of the total value of shares of all classes of stock of such foreign corporation."
title-26_subtitle-F_chapter-79_section-7701_subsection-a,partner,entity,"includes a member in such a syndicate, group, pool, joint venture, or organization."
title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-139D_subsection-c,dependent,entity,"meaning given such term by section 152, determined without regard to subsections (b)(1), (b)(2), and (d)(1)(B) thereof."
title-26_subtitle-A_chapter-1_subchapter-S_part-III_section-1375_subsection-b,excess net passive income,concept,"means an amount which bears the same ratio to the net passive income for the taxable year as— (i) the amount by which the passive investment income for the taxable year exceeds 25 percent of the gross receipts for the taxable year, bears to (ii) the passive investment income for the taxable year."
title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-C_section-470_subsection-f,lease term,concept,meaning given to such term by section 168(i)(3).
title-26_subtitle-A_chapter-1_subchapter-B_part-V_section-152_subsection-f,eligible foster child,entity,"means an individual who is placed with the taxpayer by an authorized placement agency or by judgment, decree, or other order of any court of competent jurisdiction."
title-26_subtitle-D_chapter-42_subchapter-B_section-4952_subsection-e,correction,entity,"mean, with respect to any taxable expenditure, recovering part or all of the expenditure to the extent recovery is possible, and where full recovery is not possible, contributions by the person or persons whose liabilities for black lung benefit claims (as defined in section 192(e)) are to be paid out of the trust to the extent necessary to place the trust in a financial position not worse than that in which it would be if the taxable expenditure had not been made."
title-26_subtitle-F_chapter-61_subchapter-B_section-6107_subsection-d,return,entity,"meanings given to such terms by section 6696(e), and"
title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-C_section-468_subsection-d,property,entity,meaning given such term by section 614.
title-26_subtitle-D_chapter-43_section-4973_subsection-e,excess contributions,concept,"means the sum of— (A) the amount by which the amount contributed for the taxable year to such accounts exceeds $2,000 (or, if less, the sum of the maximum amounts permitted to be contributed under section 530(c) by the contributors to such accounts for such year); and (B) the amount determined under this subsection for the preceding taxable year, reduced by the sum of— (i) the distributions out of the accounts for the taxable year (other than rollover distributions); and (ii) the excess (if any) of the maximum amount which may be contributed to the accounts for the taxable year over the amount contributed to the accounts for the taxable year."
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-415_subsection-n,nonqualified service credit,concept,"means permissive service credit other than that allowed with respect to— (i) service (including parental, medical, sabbatical, and similar leave) as an employee of the Government of the United States, any State or political subdivision thereof, or any agency or instrumentality of any of the foregoing (other than military service or service for credit which was obtained as a result of a repayment described in subsection (k)(3)), (ii) service (including parental, medical, sabbatical, and similar leave) as an employee (other than as an employee described in clause (i)) of an educational organization described in section 170(b)(1)(A)(ii) which is a public, private, or sectarian school which provides elementary or secondary education (through grade 12), or a comparable level of education, as determined under the applicable law of the jurisdiction in which the service was performed, (iii) service as an employee of an association of employees who are described in clause (i), or (iv) military service (other than qualified military service under section 414(u)) recognized by such governmental plan."
title-26_subtitle-A_chapter-1_subchapter-Q_part-II_section-1313_subsection-a,determination,concept,"means— (1) a decision by the Tax Court or a judgment, decree, or other order by any court of competent jurisdiction, which has become final; (2) a closing agreement made under section 7121; (3) a final disposition by the Secretary of a claim for refund."
title-26_subtitle-A_chapter-1_subchapter-D_part-III_subpart-A_section-432_subsection-j,plan sponsor,entity,"means, with respect to any multiemployer plan, the association, committee, joint board of trustees, or other similar group of representatives of the parties who establish or maintain the plan."
title-26_subtitle-D_chapter-34_subchapter-A_section-4372_subsection-d,insured,entity,"means— (1) a domestic corporation or partnership, or an individual resident of the United States, against, or with respect to, hazards, risks, losses, or liabilities wholly or partly within the United States, or (2) a foreign corporation, foreign partnership, or nonresident individual, engaged in a trade or business within the United States, against, or with respect to, hazards, risks, losses, or liabilities within the United States."
title-26_subtitle-D_chapter-43_section-4975_subsection-f,taxable period,entity,"means, with respect to any prohibited transaction, the period beginning with the date on which the prohibited transaction occurs and ending on the earliest of— (A) the date of mailing a notice of deficiency with respect to the tax imposed by subsection (a) under section 6212, (B) the date on which the tax imposed by subsection (a) is assessed, or (C) the date on which correction of the prohibited transaction is completed."
title-26_subtitle-D_chapter-43_section-4975_subsection-e,disqualified person,entity,"means a person who is— (A) a fiduciary; (B) a person providing services to the plan; (C) an employer any of whose employees are covered by the plan; (D) an employee organization any of whose members are covered by the plan; (E) an owner, direct or indirect, of 50 percent or more of— (i) the combined voting power of all classes of stock entitled to vote or the total value of shares of all classes of stock of a corporation, (ii) the capital interest or the profits interest of a partnership, or (iii) the beneficial interest of a trust or unincorporated enterprise, (F) a member of the family (as defined in paragraph (6)) of any individual described in subparagraph (A), (B), (C), or (E); (G) a corporation, partnership, or trust or estate of which (or in which) 50 percent or more of— (i) the combined voting power of all classes of stock entitled to vote or the total value of shares of all classes of stock of such corporation, (ii) the capital interest or profits interest of such partnership, or (iii) the beneficial interest of such trust or estate, (H) an officer, director (or an individual having powers or responsibilities similar to those of officers or directors), a 10 percent or more shareholder, or a highly compensated employee (earning 10 percent or more of the yearly wages of an employer) of a person described in subparagraph (C), (D), (E), or (G); or (I) a 10 percent or more (in capital or profits) partner or joint venturer of a person described in subparagraph (C), (D), (E), or (G)."
title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-179_subsection-d,controlled group,entity,"meaning assigned to it by section 1563(a), except that, for such purposes, the phrase ""more than 50 percent"" shall be substituted for the phrase ""at least 80 percent"" each place it appears in section 1563(a)(1)."
title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-A_section-904_subsection-f,income category,concept,means each separate category of income described in subsection (d)(1).
title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-B_section-884_subsection-d,effectively connected earnings and profits,concept,means earnings and profits (without diminution by reason of any distributions made during the taxable year) which are attributable to income which is effectively connected (or treated as effectively connected) with the conduct of a trade or business within the United States.
title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-117_subsection-d,highly compensated employee,entity,meaning given such term by section 414(q).
title-26_subtitle-D_chapter-41_section-4911_subsection-c,grass roots expenditures,concept,means expenditures for the purpose of influencing legislation (as defined in subsection (d) without regard to paragraph (1)(B) thereof).
title-26_subtitle-A_chapter-1_subchapter-S_part-I_section-1361_subsection-b,qualified subchapter s subsidiary,entity,"means any domestic corporation which is not an ineligible corporation (as defined in paragraph (2)), if— (i) 100 percent of the stock of such corporation is held by the S corporation, and (ii) the S corporation elects to treat such corporation as a qualified subchapter S subsidiary."
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-E_section-48D_subsection-b,qualified property,concept,"means property— (i) which is tangible property, (ii) with respect to which depreciation (or amortization in lieu of depreciation) is allowable, (iii) which is— (I) constructed, reconstructed, or erected by the taxpayer, or (II) acquired by the taxpayer if the original use of such property commences with the taxpayer, and (iv) which is integral to the operation of the advanced manufacturing facility."
title-26_subtitle-K_chapter-100_subchapter-A_section-9801_subsection-c,creditable coverage,concept,"means, with respect to an individual, coverage of the individual under any of the following: (A) A group health plan."
title-26_subtitle-F_chapter-79_section-7701_subsection-a,cooperative bank,entity,"means an institution without capital stock organized and operated for mutual purposes and without profit, which— (A) is subject by law to supervision and examination by State or Federal authority having supervision over such institutions, and (B) meets the requirements of subparagraphs (B) and (C) of paragraph (19) of this subsection (relating to definition of domestic building and loan association)."
title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-A_section-448_subsection-d,tax shelter,entity,meaning given such term by section 461(i)(3) (determined after application of paragraph (4) thereof).
title-26_subtitle-D_chapter-42_subchapter-A_section-4940_subsection-c,gross investment income,concept,"means the gross amount of income from interest, dividends, rents, payments with respect to securities loans (as defined in section 512(a)(5)), and royalties, but not including any such income to the extent included in computing the tax imposed by section 511."
title-26_subtitle-A_chapter-1_subchapter-D_part-III_subpart-A_section-433_subsection-f,base amount,concept,"means, with respect to any quarter, an amount equal to 3 times the sum of the adjusted disbursements from the plan for the 12 months ending on the last day of such quarter."
title-26_subtitle-F_chapter-76_subchapter-C_part-I_section-7448_subsection-a,judge,entity,"means the chief judge or a judge of the Tax Court, including any individual receiving retired pay (or compensation in lieu of retired pay) under section 7447 whether or not performing judicial duties pursuant to section 7447(c)."
title-26_subtitle-C_chapter-21_subchapter-C_section-3121_subsection-v,nonqualified deferred compensation plan,concept,means any plan or other arrangement for deferral of compensation other than a plan described in subsection (a)(5).
title-26_subtitle-D_chapter-47_section-5000_subsection-b,large group health plan,concept,"means a plan of, or contributed to by, an employer or employee organization (including a self-insured plan) to provide health care (directly or otherwise) to the employees, former employees, the employer, others associated or formerly associated with the employer in a business relationship, or their families, that covers employees of at least one employer that normally employed at least 100 employees on a typical business day during the previous calendar year."
title-26_subtitle-A_chapter-1_subchapter-Z_section-1400Z_subsection-d,qualified opportunity zone property,entity,"means property which is— (i) qualified opportunity zone stock, (ii) qualified opportunity zone partnership interest, or (iii) qualified opportunity zone business property."
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-C_section-36_subsection-c,principal residence,concept,meaning as when used in section 121.
title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-263A_subsection-e,preproductive period,concept,"means— (i) in the case of a plant which will have more than 1 crop or yield, the period before the 1st marketable crop or yield from such plant, or (ii) in the case of any other plant, the period before such plant is reasonably expected to be disposed of."
title-26_subtitle-F_chapter-61_subchapter-A_part-III_subpart-B_section-6049_subsection-d,obligation,concept,"includes bonds, debentures, notes, certificates, and other evidences of indebtedness."
title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-F_section-952_subsection-c,qualified financial institution,concept,"means any controlled foreign corporation predominantly engaged in the active conduct of a banking, financing, or similar business in the taxable year and in the prior taxable year in which the deficit arose."
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-401_subsection-k,qualified percentage,concept,"means, with respect to any employee, any percentage determined under the arrangement if such percentage is applied uniformly, does not exceed 15 percent (10 percent during the period described in subclause (I)), and is at least— (I) 3 percent during the period ending on the last day of the first plan year which begins after the date on which the first elective contribution described in clause (i) is made with respect to such employee, (II) 4 percent during the first plan year following the plan year described in subclause (I), (III) 5 percent during the second plan year following the plan year described in subclause (I), and (IV) 6 percent during any subsequent plan year."
title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-C_section-465_subsection-b,qualified person,entity,meaning given such term by section 49(a)(1)(D)(iv).
title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-170_subsection-g,relative of the taxpayer,entity,"means an individual who, with respect to the taxpayer, bears any of the relationships described in subparagraphs (A) through (G) of section 152(d)(2)."
